dataset,tool,level,cutoff,Stability-LoF_n,Stability-LoF_pct,Dynamics-LoF_n,Dynamics-LoF_pct,GoF_n,GoF_pct,Intermediate_n,Intermediate_pct,p_stab_vs_gof,p_dyn_vs_gof
GCK_DMS_Abundance_Gersing2024,AM,Supporting,0.564,1540,82.79569892473118,1528,69.39146230699365,703,37.17609730301428,889,39.493558418480674,5.898954696071174e-187,6.559730447299996e-96
GCK_DMS_Abundance_Gersing2024,AM,Moderate,0.74,1384,74.40860215053763,1292,58.6739327883742,486,25.700687466948704,631,28.03198578409596,1.0047530565113392e-203,2.7157324271519907e-102
GCK_DMS_Abundance_Gersing2024,AM,Strong,0.89,1116,60.0,965,43.82379654859219,281,14.85986250661026,404,17.947578853842735,1.203825761299709e-188,1.415254518103079e-93
GCK_DMS_Abundance_Gersing2024,REVEL,Supporting,0.644,1326,86.38436482084691,1631,89.56617243272927,1136,74.98349834983499,1380,74.75622968580716,1.3698085097753497e-15,7.492128171907897e-29
GCK_DMS_Abundance_Gersing2024,REVEL,Moderate,0.773,1201,78.24104234527687,1438,78.96760021965953,933,61.584158415841586,1149,62.24268689057421,9.898757002951294e-24,4.170704540371921e-28
GCK_DMS_Abundance_Gersing2024,REVEL,Strong,0.932,752,48.990228013029316,863,47.39154310818232,419,27.656765676567655,561,30.39003250270856,5.209795677264323e-34,8.27932717351456e-32
