rule,gene,n_lof,n_gof,median_lof,median_gof,p
published (offset 0 first),ABCC8,24,23,0.9480861111111111,0.8532277777777778,0.015716194055695333
published (offset 0 first),ALL,66,65,0.9366111111111111,0.8464722222222222,0.00025481630093176507
ambiguous >600 -> -1,ABCC8,24,23,0.9409527777777777,0.8532277777777778,0.04000896112872107
ambiguous >600 -> -1,ALL,66,65,0.9325805555555555,0.8464722222222222,0.0005413287829250806
all ambiguous -> -1,ABCC8,24,23,0.9409527777777777,0.8532277777777778,0.10351892440394236
all ambiguous -> -1,ALL,66,65,0.9320083333333333,0.8464722222222222,0.0012816785954746484
externally resolved,ABCC8,24,23,0.9493472222222222,0.8532277777777778,0.015716194055695333
externally resolved,ALL,66,65,0.9366111111111111,0.8464722222222222,0.00025481630093176507
