threshold_method,score_col,threshold,lof_pct,gof_pct,gap,pval
AM fixed Supporting (0.564),am_score,0.564,87.87878787878788,67.6923076923077,20.186480186480182,0.006318289726794468
AM fixed Strong (0.890),am_score,0.89,60.60606060606061,29.23076923076923,31.37529137529138,0.00041837950221965364
AM GMM valley (0.758),am_score,0.758452315535332,83.33333333333333,46.15384615384615,37.179487179487175,9.135599293489806e-06
AM Youden's J (0.832),am_score,0.8324,81.81818181818181,35.38461538461539,46.433566433566426,6.368776880373662e-08
AM KDE N/A,am_score,0.89,60.60606060606061,29.23076923076923,31.37529137529138,0.00041837950221965364
REVEL fixed Strong (0.932),revel_score,0.932,54.54545454545455,35.38461538461539,19.16083916083916,0.03524756174347207
REVEL GMM valley (0.875),revel_score,0.8752638369916635,75.75757575757575,52.30769230769231,23.449883449883444,0.006355981867662112
