tool,subgroup,k,pooled_gap,se,ci_lo,ci_hi,tau2,Q,I2,p_heterogeneity
AM,All,6,29.021629089285895,5.175507486939195,18.877634414885073,39.16562376368672,87.97575557964798,16.30242356518329,69.3297135851728,0.006031644210688358
AM,Clinical,5,23.604345524573866,4.372729867599813,15.033794984078233,32.1748960650695,13.701387119162685,4.6110091455412405,13.251093768314792,0.3295868292326438
AM,Functional,1,36.26207135145453,1.1280799908292867,34.05103456942913,38.47310813347993,0.0,0.0,0.0,1.0
AM,ABCC8,2,24.834241534511033,12.052613497136585,1.211119080123325,48.45736398889874,205.15435408779075,2.991434294677746,66.57121963938287,0.0837059973855585
AM,KCNJ11,2,27.820956657291834,6.43400685984801,15.210303211989736,40.431610102593936,0.0,0.32844690867546245,0.0,0.5665750387560444
AM,GCK,2,36.21885167690478,1.1252943754638411,34.013274700995645,38.42442865281391,0.0,0.29758325208341246,0.0,0.5854014863450373
REVEL,All,6,20.236669522361037,1.3317107239004917,17.626516503516072,22.846822541206002,0.0,3.794817422420841,0.0,0.5793190722890617
REVEL,Clinical,5,18.872757743046915,3.713960306891016,11.593395541540524,26.152119944553306,0.0,3.640054697115073,0.0,0.4569045529527893
REVEL,Functional,1,20.43790283790284,1.4265731940803237,17.641819377505406,23.233986298300273,0.0,0.0,0.0,1.0
REVEL,ABCC8,2,15.252553573710708,4.736647594373449,5.968724288738748,24.536382858682668,0.0,0.41625321318967345,0.0,0.5188125636815346
REVEL,KCNJ11,2,26.2483573272488,8.83964771185386,8.922647812015235,43.57406684248237,69.16170388166421,1.7069492814702811,41.41595120280025,0.191381664518379
REVEL,GCK,2,20.463592142626812,1.4225509857632874,17.67539221053077,23.251792074722854,0.0,0.05758757123405215,0.0,0.8103503310671877
