group,n_rows,n_predictors,predictors,mean,row_min,row_max,loo_min,loo_max,n_rows_screened_out
structure + frequency,3,1,AlphaMissense x3,20.3030303030303,18.125952260030477,22.328593194514983,19.290248857287963,21.391569324530217,0
conservation only,4,2,PROVEAN x3; SIFT4G x1,19.02552056881666,14.94413407821229,27.36160487557136,16.246825799898428,20.38598273235145,5
supervised ensemble,12,4,REVEL x3; VEST4 x3; MetaRNN x3; ClinPred x3,17.050956492297278,13.580497714575928,20.510411376333167,16.73646059374856,17.366452744817398,0
regional constraint,3,1,MPC x3,2.727272727272726,1.8181818181818188,3.2376841036058868,2.472067039106146,3.18181818181818,0
population deep learning,3,1,PrimateAI x3,-4.696969696969698,-5.510411376333163,-3.125952260030473,-5.48247841543931,-4.290248857287965,0
