tool,threshold_label,threshold_value,description,lof_n,lof_total,lof_pct,gof_n,gof_total,gof_pct,lof_minus_gof_pct,fisher_pval,odds_ratio,significant
REVEL,Author_0.5,0.5,Author-recommended (Ioannidis et al.),65,66,98.48484848484848,65,65,100.0,-1.5151515151515156,1.0,0.0,False
REVEL,Author_0.75,0.75,Author-recommended (Ioannidis et al.),59,66,89.39393939393939,57,65,87.6923076923077,1.7016317016316975,0.7905679523384996,1.1829573934837092,False
REVEL,Supporting,0.644,PP3 Supporting (Pejaver et al. 2022),62,66,93.93939393939394,63,65,96.92307692307692,-2.983682983682982,0.6801748973638193,0.49206349206349204,False
REVEL,Moderate,0.773,PP3 Moderate (Pejaver et al. 2022),58,66,87.87878787878788,51,65,78.46153846153847,9.417249417249408,0.16769357546414418,1.9901960784313726,False
REVEL,Strong,0.932,PP3 Strong (Pejaver et al. 2022),36,66,54.54545454545455,23,65,35.38461538461539,19.16083916083916,0.03524756174347207,2.1913043478260867,True
AM,LP_threshold,0.564,Likely pathogenic (Cheng et al. 2023),58,66,87.87878787878788,44,65,67.6923076923077,20.186480186480182,0.006318289726794468,3.460227272727273,True
AM,Supporting,0.564,PP3 Supporting (analogous calibration),58,66,87.87878787878788,44,65,67.6923076923077,20.186480186480182,0.006318289726794468,3.460227272727273,True
AM,Moderate,0.74,PP3 Moderate (calibrated),55,66,83.33333333333333,32,65,49.23076923076923,34.102564102564095,4.1083951814481763e-05,5.15625,True
AM,Strong,0.89,"PP3 Strong (calibrated, FDR ~5%)",40,66,60.60606060606061,19,65,29.23076923076923,31.37529137529138,0.00041837950221965364,3.7246963562753037,True
