tool,mechanism,level,cutoff,n_pathogenic,n_benign,TP,FN,TN,FP,sensitivity,specificity,LR_plus,LR_minus,acmg_tier_achieved
AM,LoF,Supporting,0.564,202,13,152,50,12,1,0.7524752475247525,0.9230769230769231,9.782178217821789,0.26815181518151815,Moderate
AM,LoF,Moderate,0.74,202,13,135,67,12,1,0.6683168316831684,0.9230769230769231,8.688118811881195,0.3593234323432343,Moderate
AM,LoF,Strong,0.89,202,13,103,99,12,1,0.5099009900990099,0.9230769230769231,6.628712871287133,0.5309405940594059,Moderate
AM,GoF,Supporting,0.564,45,13,29,16,12,1,0.6444444444444445,0.9230769230769231,8.377777777777784,0.38518518518518513,Moderate
AM,GoF,Moderate,0.74,45,13,25,20,12,1,0.5555555555555556,0.9230769230769231,7.222222222222228,0.48148148148148145,Moderate
AM,GoF,Strong,0.89,45,13,17,28,12,1,0.37777777777777777,0.9230769230769231,4.911111111111114,0.674074074074074,Moderate
AM,LoF+GoF,Supporting,0.564,247,13,181,66,12,1,0.7327935222672065,0.9230769230769231,9.52631578947369,0.28947368421052627,Moderate
AM,LoF+GoF,Moderate,0.74,247,13,160,87,12,1,0.6477732793522267,0.9230769230769231,8.421052631578952,0.381578947368421,Moderate
AM,LoF+GoF,Strong,0.89,247,13,120,127,12,1,0.48582995951417,0.9230769230769231,6.315789473684214,0.5570175438596492,Moderate
