dataset,tool,level,cutoff,lof_n,lof_total,gof_n,gof_total,lof_pct,gof_pct,gap,pval
GCK_DMS_Gersing2023,AM,Supporting,0.564,3092,4089,719,1927,75.6175103937393,37.31188375713544,38.305626636603854,1.0840102574709963e-179
GCK_DMS_Gersing2023,AM,Moderate,0.74,2697,4089,497,1927,65.95744680851064,25.7913855734302,40.166061235080434,2.471323986184948e-191
GCK_DMS_Gersing2023,AM,Strong,0.89,2096,4089,289,1927,51.259476644656395,14.997405293201869,36.26207135145452,1.7869316736682385e-172
GCK_DMS_Gersing2023,REVEL,Supporting,0.644,2973,3375,1155,1540,88.08888888888889,75.0,13.088888888888889,2.4269191147461726e-29
GCK_DMS_Gersing2023,REVEL,Moderate,0.773,2651,3375,951,1540,78.54814814814814,61.753246753246756,16.794901394901387,9.293991361819533e-34
GCK_DMS_Gersing2023,REVEL,Strong,0.932,1619,3375,424,1540,47.97037037037037,27.532467532467532,20.437902837902836,1.4041308114774996e-42
