scheme,basis,tool,n,lof_n,gof_n,gap
Bergquist 2025,all AM-scored,AM,6016,4089,1927,25.70250940954017
Bergquist 2025,all AM-scored,REVEL,6016,3375,1540,19.786820586820593
Bergquist 2025,complete-case,AM,4915,3375,1540,24.986435786435788
Bergquist 2025,complete-case,REVEL,4915,3375,1540,19.786820586820593
v26 (as submitted),all AM-scored,AM,6016,4089,1927,36.26207135145453
v26 (as submitted),all AM-scored,REVEL,6016,3375,1540,20.43790283790284
v26 (as submitted),complete-case,AM,4915,3375,1540,35.71649831649831
v26 (as submitted),complete-case,REVEL,4915,3375,1540,20.43790283790284
