scheme,tool,cutoff,sens,sens_hi,spec,n_disease,n_benign,fp,lr,lr_lo,lr_hi,lr_ceiling,max_fp_for_strong,ci_excludes_required,p_binom
v26 (as submitted),AM,0.89,0.5099009900990099,0.5780091674237069,0.898936170212766,202,376,38,5.045336112558624,3.6258006704689394,7.020633179318132,9.894736842105264,11.622002510765444,True,2.8294488020820734e-10
v26 (as submitted),REVEL,0.932,0.4723926380368098,0.54878590311832,0.933806146572104,163,423,28,7.136503067484664,4.817393672885832,10.572039465836076,15.107142857142858,12.413713209574832,True,7.283553397245827e-05
Bergquist 2025,AM,0.972,0.2871287128712871,0.3530354462070829,0.949468085106383,202,376,19,5.682126107347583,3.4842605354232448,9.266401513765972,19.789473684210527,7.098466725875036,True,0.0001284070694099492
Bergquist 2025,REVEL,0.879,0.6993865030674846,0.7645240123286077,0.8676122931442081,163,423,56,5.282865907099037,4.057467441479539,6.87834778588206,7.553571428571429,17.293778460695243,True,1.9937578515295718e-14
