tool,mechanism,labelled_level,cutoff,sensitivity,specificity,LR_plus,acmg_lr_required,acmg_tier_achieved,recalibration
AM,LoF,Supporting,0.564,0.7524752475247525,0.9230769230769231,9.782178217821789,2.08,Moderate,Could Upgrade
AM,LoF,Moderate,0.74,0.6683168316831684,0.9230769230769231,8.688118811881195,4.3,Moderate,Appropriate
AM,LoF,Strong,0.89,0.5099009900990099,0.9230769230769231,6.628712871287133,18.7,Moderate,DOWNGRADE NEEDED
AM,GoF,Supporting,0.564,0.6444444444444445,0.9230769230769231,8.377777777777784,2.08,Moderate,Could Upgrade
AM,GoF,Moderate,0.74,0.5555555555555556,0.9230769230769231,7.222222222222228,4.3,Moderate,Appropriate
AM,GoF,Strong,0.89,0.37777777777777777,0.9230769230769231,4.911111111111114,18.7,Moderate,DOWNGRADE NEEDED
